iter	Accuracy	MultiClass
171	0.7733166039	0.4457424746
172	0.7733166039	0.4454947074
173	0.7733166039	0.4450959924
174	0.7733166039	0.4446344827
175	0.7733166039	0.4442587584
176	0.7733166039	0.4437423172
177	0.7766624843	0.4433778056
178	0.7766624843	0.443046733
179	0.7766624843	0.4428281928
180	0.7766624843	0.4424030996
181	0.7733166039	0.4421053799
182	0.7733166039	0.4416928774
183	0.7733166039	0.4413609954
184	0.7733166039	0.4411454976
185	0.7733166039	0.4408368037
186	0.7733166039	0.4405555741
187	0.7733166039	0.4403100114
188	0.7733166039	0.4399924891
189	0.7733166039	0.4396400653
190	0.7733166039	0.439304742
191	0.7733166039	0.4391518776
192	0.7733166039	0.4388991316
193	0.7733166039	0.4386513747
194	0.7733166039	0.4383497682
195	0.7733166039	0.438060618
196	0.7733166039	0.437748516
197	0.7733166039	0.4374883534
198	0.7733166039	0.4371668865
199	0.7733166039	0.4369128882
200	0.7795303818	0.4366387736
201	0.7795303818	0.4364344136
202	0.7795303818	0.4362274789
203	0.7795303818	0.4359325594
204	0.7795303818	0.4356486624
205	0.7795303818	0.4352792191
206	0.7795303818	0.4350328434
207	0.7795303818	0.4347868833
208	0.7795303818	0.4344640581
209	0.7795303818	0.4341513207
210	0.7795303818	0.4339931428
211	0.781621557	0.4336517092
212	0.781621557	0.4334896492
213	0.781621557	0.4333135726
214	0.781621557	0.4330384026
215	0.781621557	0.4328261116
216	0.781621557	0.4326365163
217	0.781621557	0.4324851702
218	0.7795303818	0.4323154034
219	0.7795303818	0.4321169024
220	0.7795303818	0.4318428441
221	0.7795303818	0.4315627045
222	0.7795303818	0.4313724001
223	0.7795303818	0.4310931633
224	0.7828762622	0.4308655602
225	0.7828762622	0.4305560864
226	0.7828762622	0.4302671005
227	0.7828762622	0.4300860682
228	0.7828762622	0.429847432
229	0.7828762622	0.4297081125
230	0.7828762622	0.4295203319
231	0.7828762622	0.4293165937
232	0.7828762622	0.4288015304
233	0.7828762622	0.4286515289
234	0.7828762622	0.4283955147
235	0.7828762622	0.4281594966
236	0.7828762622	0.4278848328
237	0.7849674374	0.4276451893
238	0.7849674374	0.4274774804
239	0.7849674374	0.4272047731
240	0.7849674374	0.4269388706
241	0.7849674374	0.4268155161
242	0.7849674374	0.4265655715
243	0.7849674374	0.4263911085
244	0.7849674374	0.4262416413
245	0.7849674374	0.4260973098
246	0.7849674374	0.4258790316
247	0.7849674374	0.4256039796
248	0.7849674374	0.4254093981
249	0.7849674374	0.425124321
250	0.7849674374	0.4248422235
251	0.7849674374	0.4246837029
252	0.7849674374	0.424556169
253	0.7849674374	0.42437489
254	0.7849674374	0.4240977212
255	0.7849674374	0.4238622143
256	0.7849674374	0.4236793077
257	0.7877158392	0.4235023194
258	0.7877158392	0.4233201711
259	0.7877158392	0.4231872792
260	0.7877158392	0.4229238018
261	0.7877158392	0.4227809118
262	0.7877158392	0.4225665093
263	0.7891497879	0.4223335273
264	0.7891497879	0.4221448205
265	0.7891497879	0.4219204601
266	0.7891497879	0.421681403
267	0.792615164	0.4214377653
268	0.792615164	0.4213139432
269	0.792615164	0.4212050931
270	0.792615164	0.4209645275
271	0.792615164	0.4207408254
272	0.792615164	0.4205680261
273	0.792615164	0.420393078
274	0.792615164	0.4201920739
275	0.792615164	0.4200476671
276	0.792615164	0.4198674662
277	0.792615164	0.4197063161
278	0.792615164	0.4195339836
279	0.792615164	0.4193944054
280	0.792615164	0.4192746053
281	0.792615164	0.419101813
282	0.792615164	0.4189015503
283	0.792615164	0.4186887826
284	0.792615164	0.4185031945
285	0.7940491127	0.4183456473
286	0.7940491127	0.4181762344
287	0.7940491127	0.4179854728
288	0.7940491127	0.4178603443
289	0.7940491127	0.4176649558
290	0.7940491127	0.4174906647
291	0.7940491127	0.4173024149
292	0.7940491127	0.4171383433
293	0.7940491127	0.4169804464
294	0.7940491127	0.4168204154
295	0.7940491127	0.4166791831
296	0.7940491127	0.4165490474
297	0.7940491127	0.4163687178
298	0.7940491127	0.416249201
299	0.7940491127	0.4161878442
300	0.7940491127	0.4160500052
301	0.7940491127	0.4159325239
302	0.7940491127	0.4158125941
303	0.7940491127	0.4156924157
304	0.7940491127	0.4154778602
305	0.7940491127	0.4152884216
306	0.7940491127	0.4148744394
307	0.7940491127	0.4147142217
308	0.7940491127	0.4145868879
309	0.7940491127	0.4144006546
310	0.7940491127	0.4142775871
311	0.7940491127	0.4139446918
312	0.7940491127	0.413773621
313	0.7940491127	0.4136876491
314	0.7940491127	0.4135517381
315	0.7940491127	0.4132552164
316	0.7940491127	0.413177244
317	0.7940491127	0.4129893148
318	0.7940491127	0.4128340561
319	0.7940491127	0.4126287289
320	0.7940491127	0.4124462397
321	0.7940491127	0.4123466392
322	0.7940491127	0.4121950603
323	0.7940491127	0.4120631698
324	0.7940491127	0.4118270203
325	0.7940491127	0.4116694149
326	0.7940491127	0.4115289976
327	0.7940491127	0.4113188837
328	0.7940491127	0.4111303142
329	0.7940491127	0.4108064807
330	0.7940491127	0.4107113588
331	0.7940491127	0.410551902
332	0.7940491127	0.4104374967
333	0.7940491127	0.4102492516
334	0.7940491127	0.4101111636
335	0.7940491127	0.409945062
336	0.7940491127	0.4098019045
337	0.7940491127	0.4095678204
338	0.7940491127	0.4093414996
339	0.7940491127	0.4092295437
340	0.7940491127	0.4090625823
341	0.7940491127	0.4089308734
342	0.7940491127	0.4087150167
343	0.793929617	0.4085993893
344	0.793929617	0.4085057973
345	0.793929617	0.4084078692
346	0.793929617	0.4082890408
347	0.793929617	0.4081775202
348	0.793929617	0.4080193892
349	0.793929617	0.4078955635
350	0.793929617	0.4077627532
351	0.793929617	0.4075588776
352	0.793929617	0.4074028363
353	0.793929617	0.4072656214
354	0.793929617	0.4071514358
355	0.793929617	0.4070225085
356	0.793929617	0.4068322511
357	0.793929617	0.406706143
358	0.793929617	0.4065209065
359	0.793929617	0.4063822726
360	0.793929617	0.4062159038
361	0.7940491127	0.4059328722
362	0.7940491127	0.4058187628
363	0.7940491127	0.4057302384
364	0.7940491127	0.4055862056
365	0.7940491127	0.4054699484
366	0.7940491127	0.4053370514
367	0.7940491127	0.4052581661
368	0.7940491127	0.4050706632
369	0.7940491127	0.4049307529
370	0.7940491127	0.4048250673
371	0.7940491127	0.404746907
372	0.7940491127	0.4045751704
373	0.793929617	0.4044135364
374	0.793929617	0.4043169606
375	0.793929617	0.4041807304
376	0.793929617	0.4040379163
377	0.793929617	0.4039597649
378	0.793929617	0.4038505779
379	0.793929617	0.4037129674
380	0.7963792794	0.4035407919
381	0.7963792794	0.403393891
382	0.7963792794	0.4032571177
383	0.7963792794	0.4031612683
384	0.7963792794	0.4030308209
385	0.7963792794	0.402915389
386	0.7963792794	0.4028147279
387	0.7963792794	0.4026884797
388	0.7963792794	0.4025815996
389	0.7963792794	0.402455675
390	0.7963792794	0.4023122802
391	0.7963792794	0.4022261495
392	0.7963792794	0.4021274452
393	0.7963792794	0.402044634
394	0.7963792794	0.4019757187
395	0.7963792794	0.4018615196
396	0.7963792794	0.4017521412
397	0.7963792794	0.4016449481
398	0.7963792794	0.4014677148
399	0.7963792794	0.4013449619
400	0.7963792794	0.4012449263
401	0.7963792794	0.4011481098
402	0.7963792794	0.4010278091
403	0.7963792794	0.4008770365
404	0.7963792794	0.4007842056
405	0.7963792794	0.4006533968
406	0.7963792794	0.4004408512
407	0.7963792794	0.4003321863
408	0.7963792794	0.4002227541
409	0.7963792794	0.400118321
410	0.7963792794	0.4000462035
411	0.7963792794	0.3999514311
412	0.7963792794	0.3998106483
413	0.7963792794	0.3996957948
414	0.7963792794	0.3996246774
415	0.7963792794	0.3995376918
416	0.7963792794	0.3994225152
417	0.7963792794	0.3993628738
418	0.7963792794	0.3992835458
419	0.7963792794	0.3991480648
420	0.7963792794	0.3988165747
421	0.7963792794	0.3986692329
422	0.7963792794	0.3985625644
423	0.7963792794	0.3984750696
424	0.7963792794	0.3983135269
425	0.7963792794	0.3981817487
426	0.7963792794	0.3979822979
427	0.7963792794	0.397864802
428	0.7963792794	0.3977284262
429	0.7963792794	0.3976297778
430	0.7963792794	0.3975323281
431	0.7963792794	0.397452752
432	0.7963792794	0.3973682415
433	0.7963792794	0.3972883509
434	0.7963792794	0.3972257488
435	0.7963792794	0.3970245785
436	0.7963792794	0.3969500361
437	0.7963792794	0.3968890911
438	0.7963792794	0.3967982287
439	0.7963792794	0.3966472933
440	0.7963792794	0.3965508654
441	0.7963792794	0.3964806714
442	0.7963792794	0.3963558028
443	0.7963792794	0.3962227926
444	0.7963792794	0.3961477844
445	0.7963792794	0.396023583
446	0.7963792794	0.3959440633
447	0.7963792794	0.3958767924
448	0.7963792794	0.3957884236
449	0.7963792794	0.3957357721
450	0.7963792794	0.3956060265
451	0.7963792794	0.3954767661
452	0.7963792794	0.3953432861
453	0.7963792794	0.3950486779
454	0.7981717154	0.3949249466
455	0.7981717154	0.3948260858
456	0.7981717154	0.3947680894
457	0.7981717154	0.3947183493
458	0.7981717154	0.3946141646
459	0.7981717154	0.3945353677
460	0.7981717154	0.394452607
461	0.7981717154	0.3943862719
462	0.7997251598	0.3943345478
463	0.800979865	0.3942567696
464	0.800979865	0.3941600032
465	0.803608771	0.3940983278
466	0.803608771	0.3940262223
467	0.803608771	0.3939592176
468	0.803608771	0.3938975715
469	0.803608771	0.3938175517
470	0.803608771	0.3936910088
471	0.803608771	0.3936266429
472	0.803608771	0.3935525262
473	0.803608771	0.3934516565
474	0.803608771	0.3934060818
475	0.803608771	0.3933489169
476	0.803608771	0.3932811334
477	0.803608771	0.3931155179
478	0.803608771	0.3929650339
479	0.803608771	0.3928893865
480	0.803608771	0.3928086131
481	0.803608771	0.392759118
482	0.803608771	0.3926618375
483	0.803608771	0.3925968599
484	0.803608771	0.3924696709
485	0.803608771	0.3924294283
486	0.803608771	0.3922628029
487	0.803608771	0.3922280891
488	0.803608771	0.3921659742
489	0.803608771	0.3921062389
490	0.803608771	0.3920439284
491	0.803608771	0.3916930899
492	0.803608771	0.3916347373
493	0.803608771	0.3915486522
494	0.803608771	0.3915032572
495	0.803608771	0.3913820114
496	0.803608771	0.3913248259
497	0.803608771	0.3912650308
498	0.803608771	0.3912320342
499	0.803608771	0.3910515668
500	0.803608771	0.3910117841
501	0.803608771	0.3909529251
502	0.803608771	0.3907574576
503	0.803608771	0.3906808233
504	0.803608771	0.3905329225
505	0.803608771	0.3904767146
506	0.803608771	0.3904147317
507	0.803608771	0.3903705332
508	0.803608771	0.3901460546
509	0.803608771	0.3900579168
510	0.803608771	0.3899972842
511	0.803608771	0.3899628825
512	0.803608771	0.389904355
513	0.803608771	0.3898638774
514	0.803608771	0.3895923459
515	0.803608771	0.3894336202
516	0.803608771	0.3893775294
517	0.803608771	0.3893193954
518	0.803608771	0.3892014626
519	0.803608771	0.3890807339
520	0.803608771	0.3890440117
521	0.803608771	0.3887997723
522	0.803608771	0.388641472
523	0.803608771	0.3886099956
524	0.803608771	0.3885121323
525	0.803608771	0.388436031
526	0.803608771	0.3883802795
527	0.803608771	0.3882807041
528	0.803608771	0.3882201076
529	0.803608771	0.3881320077
530	0.803608771	0.3880988089
531	0.803608771	0.387940942
532	0.803608771	0.3878584833
533	0.803608771	0.387759595
534	0.803608771	0.3877256404
535	0.803608771	0.3876313676
536	0.803608771	0.387594737
537	0.803608771	0.3873815353
538	0.803608771	0.3873304772
539	0.803608771	0.3872934509
540	0.803608771	0.3872407333
541	0.803608771	0.3872071424
542	0.803608771	0.3871350712
543	0.803608771	0.3870530495
544	0.803608771	0.3870038986
545	0.803608771	0.3868704337
546	0.803608771	0.3868380631
547	0.803608771	0.3867591435
548	0.803608771	0.3867214378
549	0.803608771	0.3865816561
550	0.803608771	0.3865673457
551	0.803608771	0.386521312
552	0.803608771	0.3864628571
553	0.803608771	0.3864161453
554	0.803608771	0.3863716951
555	0.803608771	0.3863218188
556	0.803608771	0.3862919787
557	0.803608771	0.3862042659
558	0.803608771	0.3861424894
559	0.803608771	0.3861182773
560	0.803608771	0.385952533
561	0.8046842325	0.3859105436
562	0.8046842325	0.3858378568
563	0.8046842325	0.385646517
564	0.8046842325	0.3855960071
565	0.8046842325	0.3855198941
566	0.8055804505	0.3854874234
567	0.8055804505	0.3854340718
568	0.8055804505	0.3854096533
569	0.8055804505	0.3853909541
570	0.8055804505	0.3853457517
571	0.8055804505	0.3852458453
572	0.8055804505	0.385181841
573	0.8055804505	0.3851010756
574	0.8055804505	0.3850775376
575	0.8055804505	0.3850569583
576	0.8055804505	0.385008613
577	0.8055804505	0.3849418082
578	0.8055804505	0.384892794
579	0.8055804505	0.3846712495
580	0.8055804505	0.384615354
581	0.8055804505	0.3845723159
582	0.8055804505	0.3845220563
583	0.8055804505	0.3844574792
584	0.8055804505	0.3844136764
585	0.8055804505	0.3843849134
586	0.8055804505	0.3843242212
587	0.8055804505	0.3843052389
588	0.8055804505	0.3842607687
589	0.8055804505	0.3842319336
590	0.8055804505	0.3841990988
591	0.8055804505	0.3840654308
592	0.8055804505	0.3840400002
593	0.8055804505	0.383977353
594	0.8055804505	0.3839359414
595	0.8055804505	0.3839077845
596	0.8055804505	0.3838757676
597	0.8055804505	0.3838024041
598	0.8055804505	0.383683791
599	0.8055804505	0.3834560748
600	0.8055804505	0.3833765604
601	0.8055804505	0.3832841886
602	0.8055804505	0.3832023694
603	0.8055804505	0.3831755223
604	0.8055804505	0.3831350964
605	0.8055804505	0.3830498989
606	0.8055804505	0.3830299933
607	0.8055804505	0.3829733696
608	0.8055804505	0.3829422727
609	0.8055804505	0.382900315
610	0.8055804505	0.3828699609
611	0.8055804505	0.3827286986
612	0.8055804505	0.3826767247
613	0.8055804505	0.3825439961
614	0.8055804505	0.3825111579
615	0.8055804505	0.3824803464
616	0.8055804505	0.3824312867
617	0.8055804505	0.3824164897
618	0.8055804505	0.3823669962
619	0.8055804505	0.3822066421
620	0.8055804505	0.3821645091
621	0.8055804505	0.382082686
622	0.8055804505	0.3820346929
623	0.8055804505	0.3819372467
624	0.8055804505	0.3819201361
625	0.8055804505	0.3818591703
626	0.8055804505	0.3818080812
627	0.8055804505	0.3817867453
628	0.8055804505	0.3817188047
629	0.8055804505	0.3816831162
630	0.8055804505	0.3816653642
631	0.8055804505	0.3815691941
632	0.8055804505	0.3814937966
633	0.8055804505	0.3813104785
634	0.8055804505	0.3812949402
635	0.8055804505	0.3812780784
636	0.8055804505	0.3812262877
637	0.8055804505	0.3811637774
638	0.8055804505	0.3811382797
639	0.8055804505	0.3810534899
640	0.8055804505	0.3810413265
641	0.8055804505	0.3809683586
642	0.8055804505	0.3809246439
643	0.8055804505	0.3809136018
644	0.8055804505	0.3809021627
645	0.8055804505	0.3808815688
646	0.8055804505	0.3807680858
647	0.8055804505	0.3806770914
648	0.8055804505	0.3806245899
649	0.8055804505	0.3806071009
650	0.8055804505	0.3805585614
651	0.8055804505	0.3804508551
652	0.8055804505	0.3804062341
653	0.8055804505	0.380347736
654	0.8055804505	0.380324341
655	0.8055804505	0.3802324395
656	0.8055804505	0.380206708
657	0.8055804505	0.3801458704
658	0.8055804505	0.3801354717
659	0.8055804505	0.3801173201
660	0.8055804505	0.3800772625
661	0.8055804505	0.3800558139
