iter	Passed	Remaining
406	6040	16221
407	6056	16211
408	6073	16200
409	6088	16187
410	6104	16174
411	6120	16163
412	6135	16149
413	6151	16136
414	6167	16124
415	6183	16113
416	6200	16103
417	6216	16091
418	6231	16078
419	6246	16062
420	6261	16046
421	6275	16031
422	6290	16017
423	6305	16002
424	6321	15989
425	6336	15975
426	6352	15962
427	6367	15948
428	6383	15935
429	6399	15924
430	6414	15909
431	6429	15894
432	6444	15880
433	6459	15866
434	6473	15849
435	6487	15832
436	6502	15817
437	6517	15802
438	6532	15787
439	6546	15770
440	6561	15755
441	6576	15741
442	6589	15723
443	6604	15708
444	6620	15694
445	6633	15675
446	6648	15661
447	6664	15650
448	6681	15639
449	6697	15626
450	6712	15613
451	6728	15599
452	6743	15586
453	6757	15569
454	6773	15556
455	6789	15543
456	6803	15528
457	6819	15514
458	6833	15498
459	6848	15483
460	6863	15468
461	6879	15456
462	6894	15442
463	6909	15426
464	6924	15413
465	6941	15402
466	6956	15387
467	6970	15371
468	6986	15357
469	7000	15342
470	7016	15328
471	7032	15315
472	7047	15301
473	7062	15286
474	7077	15273
475	7092	15257
476	7108	15245
477	7123	15230
478	7139	15217
479	7153	15201
480	7168	15187
481	7183	15171
482	7196	15153
483	7210	15135
484	7224	15118
485	7238	15102
486	7253	15087
487	7267	15070
488	7280	15053
489	7297	15041
490	7312	15027
491	7327	15011
492	7342	14998
493	7358	14984
494	7373	14970
495	7389	14956
496	7405	14944
497	7420	14930
498	7433	14912
499	7448	14896
500	7462	14880
501	7476	14864
502	7491	14848
503	7505	14833
504	7520	14818
505	7535	14803
506	7550	14788
507	7564	14771
508	7579	14756
509	7594	14742
510	7608	14726
511	7623	14711
512	7639	14697
513	7654	14684
514	7671	14672
515	7685	14656
516	7701	14643
517	7716	14629
518	7731	14614
519	7746	14598
520	7761	14585
521	7776	14569
522	7791	14554
523	7806	14540
524	7822	14527
525	7838	14515
526	7854	14501
527	7869	14487
528	7884	14472
529	7900	14459
530	7915	14445
531	7932	14432
532	7947	14418
533	7963	14405
534	7979	14392
535	7995	14379
536	8010	14364
537	8025	14350
538	8039	14334
539	8054	14319
540	8070	14305
541	8086	14293
542	8102	14280
543	8117	14264
544	8132	14250
545	8149	14239
546	8165	14226
547	8178	14208
548	8192	14191
549	8207	14175
550	8221	14160
551	8237	14147
552	8253	14133
553	8269	14120
554	8285	14107
555	8300	14093
556	8316	14079
557	8332	14066
558	8347	14051
559	8363	14038
560	8379	14025
561	8395	14012
562	8410	13997
563	8426	13984
564	8441	13970
565	8459	13958
566	8474	13945
567	8490	13931
568	8506	13917
569	8519	13899
570	8534	13884
571	8549	13870
572	8563	13854
573	8578	13838
574	8593	13824
575	8609	13811
576	8626	13799
577	8641	13784
578	8656	13769
579	8671	13754
580	8685	13738
581	8700	13724
582	8716	13709
583	8731	13695
584	8746	13680
585	8761	13666
586	8776	13650
587	8790	13634
588	8805	13619
589	8820	13604
590	8835	13590
591	8851	13576
592	8866	13561
593	8883	13548
594	8898	13534
595	8913	13519
596	8928	13504
597	8943	13489
598	8958	13475
599	8974	13461
600	8990	13449
601	9006	13435
602	9022	13421
603	9037	13406
604	9051	13390
605	9067	13376
606	9082	13361
607	9097	13346
608	9112	13332
609	9126	13316
610	9142	13302
611	9156	13286
612	9172	13271
613	9187	13256
614	9201	13241
615	9217	13227
616	9232	13212
617	9248	13198
618	9264	13185
619	9279	13170
620	9295	13157
621	9311	13144
622	9327	13129
623	9343	13116
624	9358	13101
625	9373	13087
626	9388	13072
627	9405	13059
628	9419	13044
629	9433	13027
630	9448	13012
631	9464	12998
632	9479	12983
633	9493	12966
634	9507	12951
635	9521	12935
636	9537	12920
637	9551	12905
638	9567	12891
639	9584	12879
640	9601	12866
641	9617	12853
642	9632	12838
643	9648	12824
644	9664	12810
645	9679	12796
646	9695	12781
647	9711	12768
648	9725	12752
649	9741	12739
650	9756	12724
651	9771	12709
652	9788	12696
653	9804	12682
654	9820	12669
655	9836	12655
656	9852	12641
657	9868	12627
658	9883	12613
659	9898	12598
660	9914	12584
661	9930	12570
