date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
14-05-2025,13:04:00,Germania,Serbia,2-0,2,0,2025-05-14 13:04:00,210,1,"Under 2,5 Goal",130,NG,139
14-05-2025,12:58:00,Francia,Italia,0-0,0,0,2025-05-14 12:58:00,324,X,"Under 2,5 Goal",130,NG,138
14-05-2025,12:52:00,Danimarca,Francia,2-0,2,0,2025-05-14 12:52:00,226,1,"Under 2,5 Goal",130,NG,138
14-05-2025,12:46:00,Argentina,Germania,0-1,0,1,2025-05-14 12:46:00,224,2,"Under 2,5 Goal",130,NG,138
14-05-2025,12:40:00,Messico,Serbia,0-1,0,1,2025-05-14 12:40:00,240,2,"Under 2,5 Goal",130,NG,138
14-05-2025,12:34:00,Italia,Spagna,1-2,1,2,2025-05-14 12:34:00,223,2,"Over 2,5 Goal",247,GG,221
14-05-2025,12:28:00,Croazia,Olanda,0-2,0,2,2025-05-14 12:28:00,225,2,"Under 2,5 Goal",130,NG,138
14-05-2025,12:22:00,Colombia,Messico,0-1,0,1,2025-05-14 12:22:00,186,2,"Under 2,5 Goal",131,NG,140
14-05-2025,12:16:00,Cile,Inghilterra,1-2,1,2,2025-05-14 12:16:00,223,2,"Over 2,5 Goal",247,GG,221
14-05-2025,12:10:00,Germania,Nigeria,3-1,3,1,2025-05-14 12:10:00,198,1,"Over 2,5 Goal",248,GG,219
14-05-2025,12:04:00,Francia,Inghilterra,0-0,0,0,2025-05-14 12:04:00,321,X,"Under 2,5 Goal",129,NG,138
14-05-2025,11:58:00,Brasile,Spagna,3-0,3,0,2025-05-14 11:58:00,234,1,"Over 2,5 Goal",247,NG,138
14-05-2025,11:52:00,Belgio,Svizzera,1-2,1,2,2025-05-14 11:52:00,210,2,"Over 2,5 Goal",247,GG,220
14-05-2025,11:46:00,Argentina,Turchia,1-3,1,3,2025-05-14 11:46:00,256,2,"Over 2,5 Goal",251,GG,225
14-05-2025,11:40:00,Messico,Portogallo,3-0,3,0,2025-05-14 11:40:00,246,1,"Over 2,5 Goal",251,NG,136
14-05-2025,11:34:00,Italia,Olanda,2-0,2,0,2025-05-14 11:34:00,238,1,"Under 2,5 Goal",130,NG,138
14-05-2025,11:28:00,Inghilterra,Nigeria,0-1,0,1,2025-05-14 11:28:00,288,2,"Under 2,5 Goal",129,NG,139
14-05-2025,11:22:00,Germania,Italia,0-0,0,0,2025-05-14 11:22:00,324,X,"Under 2,5 Goal",130,NG,138
14-05-2025,11:16:00,Cile,Svizzera,2-2,2,2,2025-05-14 11:16:00,325,X,"Over 2,5 Goal",247,GG,222
14-05-2025,11:10:00,Brasile,Uruguay,0-1,0,1,2025-05-14 11:10:00,228,2,"Under 2,5 Goal",130,NG,138
14-05-2025,11:04:00,Colombia,Uruguay,1-2,1,2,2025-05-14 11:04:00,177,2,"Over 2,5 Goal",241,GG,217
14-05-2025,00:55:00,Danimarca,Nigeria,1-0,1,0,2025-05-14 00:55:00,203,1,"Under 2,5 Goal",129,NG,139
14-05-2025,00:50:00,Francia,Germania,1-0,1,0,2025-05-14 00:50:00,245,1,"Under 2,5 Goal",129,NG,136
14-05-2025,00:45:00,Svizzera,Turchia,0-1,0,1,2025-05-14 00:45:00,245,2,"Under 2,5 Goal",129,NG,136
14-05-2025,00:40:00,Messico,Nigeria,0-0,0,0,2025-05-14 00:40:00,312,X,"Under 2,5 Goal",130,NG,139
14-05-2025,00:35:00,Croazia,Danimarca,1-2,1,2,2025-05-14 00:35:00,232,2,"Over 2,5 Goal",247,GG,222
14-05-2025,00:30:00,Italia,Messico,1-0,1,0,2025-05-14 00:30:00,220,1,"Under 2,5 Goal",129,NG,136
14-05-2025,00:25:00,Colombia,Croazia,1-3,1,3,2025-05-14 00:25:00,179,2,"Over 2,5 Goal",241,GG,217
14-05-2025,00:20:00,Germania,Inghilterra,1-1,1,1,2025-05-14 00:20:00,327,X,"Under 2,5 Goal",130,GG,222
14-05-2025,00:15:00,Brasile,Cile,1-2,1,2,2025-05-14 00:15:00,239,2,"Over 2,5 Goal",247,GG,221
14-05-2025,00:10:00,Turchia,Uruguay,0-2,0,2,2025-05-14 00:10:00,209,2,"Under 2,5 Goal",130,NG,139
14-05-2025,00:05:00,Argentina,Belgio,0-0,0,0,2025-05-14 00:05:00,309,X,"Under 2,5 Goal",129,NG,139
13-05-2025,23:55:00,Croazia,Portogallo,2-1,2,1,2025-05-13 23:55:00,230,1,"Over 2,5 Goal",246,GG,222
13-05-2025,23:50:00,Colombia,Serbia,2-1,2,1,2025-05-13 23:50:00,312,1,"Over 2,5 Goal",254,GG,221
13-05-2025,23:45:00,Cile,Germania,2-0,2,0,2025-05-13 23:45:00,242,1,"Under 2,5 Goal",129,NG,138
13-05-2025,23:40:00,Cile,Nigeria,0-1,0,1,2025-05-13 23:40:00,274,2,"Under 2,5 Goal",129,NG,139
13-05-2025,23:35:00,Brasile,Serbia,1-0,1,0,2025-05-13 23:35:00,211,1,"Under 2,5 Goal",130,NG,138
13-05-2025,23:30:00,Argentina,Svizzera,2-0,2,0,2025-05-13 23:30:00,223,1,"Under 2,5 Goal",130,NG,138
13-05-2025,23:25:00,Belgio,Olanda,1-1,1,1,2025-05-13 23:25:00,306,X,"Under 2,5 Goal",129,GG,219
13-05-2025,23:20:00,Serbia,Uruguay,1-2,1,2,2025-05-13 23:20:00,210,2,"Over 2,5 Goal",247,GG,220
13-05-2025,23:15:00,Colombia,Svizzera,1-0,1,0,2025-05-13 23:15:00,331,1,"Under 2,5 Goal",131,NG,140
13-05-2025,23:10:00,Brasile,Messico,0-2,0,2,2025-05-13 23:10:00,249,2,"Under 2,5 Goal",129,NG,137
13-05-2025,23:05:00,Belgio,Croazia,1-2,1,2,2025-05-13 23:05:00,203,2,"Over 2,5 Goal",247,GG,219
13-05-2025,23:00:00,Francia,Nigeria,2-1,2,1,2025-05-13 23:00:00,206,1,"Over 2,5 Goal",247,GG,219
13-05-2025,22:55:00,Olanda,Uruguay,0-0,0,0,2025-05-13 22:55:00,327,X,"Under 2,5 Goal",130,NG,138
13-05-2025,22:50:00,Argentina,Spagna,1-0,1,0,2025-05-13 22:50:00,240,1,"Under 2,5 Goal",130,NG,138
13-05-2025,22:45:00,Croazia,Serbia,0-0,0,0,2025-05-13 22:45:00,314,X,"Under 2,5 Goal",128,NG,137
13-05-2025,22:40:00,Danimarca,Turchia,2-0,2,0,2025-05-13 22:40:00,214,1,"Under 2,5 Goal",128,NG,137
13-05-2025,22:35:00,Cile,Portogallo,1-1,1,1,2025-05-13 22:35:00,324,X,"Under 2,5 Goal",130,GG,221
13-05-2025,22:30:00,Brasile,Colombia,2-1,2,1,2025-05-13 22:30:00,178,1,"Over 2,5 Goal",241,GG,217
13-05-2025,22:25:00,Belgio,Portogallo,0-0,0,0,2025-05-13 22:25:00,308,X,"Under 2,5 Goal",129,NG,139
13-05-2025,22:20:00,Argentina,Nigeria,1-1,1,1,2025-05-13 22:20:00,308,X,"Under 2,5 Goal",129,GG,219
13-05-2025,22:15:00,Francia,Messico,1-0,1,0,2025-05-13 22:15:00,225,1,"Under 2,5 Goal",130,NG,138
13-05-2025,22:10:00,Inghilterra,Uruguay,2-0,2,0,2025-05-13 22:10:00,230,1,"Under 2,5 Goal",130,NG,138
13-05-2025,22:05:00,Croazia,Italia,3-0,3,0,2025-05-13 22:05:00,229,1,"Over 2,5 Goal",246,NG,138
13-05-2025,22:00:00,Colombia,Nigeria,1-0,1,0,2025-05-13 22:00:00,284,1,"Under 2,5 Goal",129,NG,139
13-05-2025,21:55:00,Serbia,Spagna,0-1,0,1,2025-05-13 21:55:00,208,2,"Under 2,5 Goal",130,NG,139
13-05-2025,21:50:00,Olanda,Turchia,2-1,2,1,2025-05-13 21:50:00,208,1,"Over 2,5 Goal",247,GG,220
13-05-2025,21:45:00,Germania,Svizzera,0-2,0,2,2025-05-13 21:45:00,248,2,"Under 2,5 Goal",129,NG,137
13-05-2025,21:40:00,Francia,Serbia,2-0,2,0,2025-05-13 21:40:00,218,1,"Under 2,5 Goal",129,NG,137
13-05-2025,21:35:00,Belgio,Italia,1-1,1,1,2025-05-13 21:35:00,308,X,"Under 2,5 Goal",129,GG,219
13-05-2025,21:30:00,Colombia,Francia,0-1,0,1,2025-05-13 21:30:00,183,2,"Under 2,5 Goal",131,NG,140
