match_code,timestamp,home_team,away_team,channel,event_code,program_code,collection_time,1x2_finale_1_odds,1x2_finale_1_code,1x2_finale_x_odds,1x2_finale_x_code,1x2_finale_2_odds,1x2_finale_2_code,under_over_2.5_under_odds,under_over_2.5_under_code,under_over_2.5_over_odds,under_over_2.5_over_code,goal_no_goal_goal_odds,goal_no_goal_goal_code,goal_no_goal_no_goal_odds,goal_no_goal_no_goal_code,risultato_esatto_0-0_odds,risultato_esatto_0-0_code,risultato_esatto_0-1_odds,risultato_esatto_0-1_code,risultato_esatto_0-2_odds,risultato_esatto_0-2_code,risultato_esatto_0-3_odds,risultato_esatto_0-3_code,risultato_esatto_0-4_odds,risultato_esatto_0-4_code,risultato_esatto_0-5_odds,risultato_esatto_0-5_code,risultato_esatto_0-6_odds,risultato_esatto_0-6_code,risultato_esatto_1-0_odds,risultato_esatto_1-0_code,risultato_esatto_1-1_odds,risultato_esatto_1-1_code,risultato_esatto_1-2_odds,risultato_esatto_1-2_code,risultato_esatto_1-3_odds,risultato_esatto_1-3_code,risultato_esatto_1-4_odds,risultato_esatto_1-4_code,risultato_esatto_1-5_odds,risultato_esatto_1-5_code,risultato_esatto_2-0_odds,risultato_esatto_2-0_code,risultato_esatto_2-1_odds,risultato_esatto_2-1_code,risultato_esatto_2-2_odds,risultato_esatto_2-2_code,risultato_esatto_2-3_odds,risultato_esatto_2-3_code,risultato_esatto_2-4_odds,risultato_esatto_2-4_code,risultato_esatto_3-0_odds,risultato_esatto_3-0_code,risultato_esatto_3-1_odds,risultato_esatto_3-1_code,risultato_esatto_3-2_odds,risultato_esatto_3-2_code,risultato_esatto_3-3_odds,risultato_esatto_3-3_code,risultato_esatto_4-0_odds,risultato_esatto_4-0_code,risultato_esatto_4-1_odds,risultato_esatto_4-1_code,risultato_esatto_4-2_odds,risultato_esatto_4-2_code,risultato_esatto_5-0_odds,risultato_esatto_5-0_code,risultato_esatto_5-1_odds,risultato_esatto_5-1_code,risultato_esatto_6-0_odds,risultato_esatto_6-0_code,under_over_1.5_under_odds,under_over_1.5_under_code,under_over_1.5_over_odds,under_over_1.5_over_code,1x2_+_under_over_2.5_1_+_over_odds,1x2_+_under_over_2.5_1_+_over_code,1x2_+_under_over_2.5_1_+_under_odds,1x2_+_under_over_2.5_1_+_under_code,1x2_+_under_over_2.5_x_+_over_odds,1x2_+_under_over_2.5_x_+_over_code,1x2_+_under_over_2.5_x_+_under_odds,1x2_+_under_over_2.5_x_+_under_code,1x2_+_under_over_2.5_2_+_over_odds,1x2_+_under_over_2.5_2_+_over_code,1x2_+_under_over_2.5_2_+_under_odds,1x2_+_under_over_2.5_2_+_under_code,1x2_+_goal_no_goal_1_+_goal_odds,1x2_+_goal_no_goal_1_+_goal_code,1x2_+_goal_no_goal_1_+_no_goal_odds,1x2_+_goal_no_goal_1_+_no_goal_code,1x2_+_goal_no_goal_x_+_goal_odds,1x2_+_goal_no_goal_x_+_goal_code,1x2_+_goal_no_goal_x_+_no_goal_odds,1x2_+_goal_no_goal_x_+_no_goal_code,1x2_+_goal_no_goal_2_+_goal_odds,1x2_+_goal_no_goal_2_+_goal_code,1x2_+_goal_no_goal_2_+_no_goal_odds,1x2_+_goal_no_goal_2_+_no_goal_code,segna_goal_sq._casa_si_odds,segna_goal_sq._casa_si_code,segna_goal_sq._casa_no_odds,segna_goal_sq._casa_no_code,segna_goal_sq._ospite_si_odds,segna_goal_sq._ospite_si_code,segna_goal_sq._ospite_no_odds,segna_goal_sq._ospite_no_code,doppia_chance_in_1x_odds,doppia_chance_in_1x_code,doppia_chance_in_2_odds,doppia_chance_in_2_code,doppia_chance_out_x2_odds,doppia_chance_out_x2_code,doppia_chance_out_1_odds,doppia_chance_out_1_code,doppia_chance_in_out_12_odds,doppia_chance_in_out_12_code,doppia_chance_in_out_x_odds,doppia_chance_in_out_x_code,somma_goal_nessun_goal_odds,somma_goal_nessun_goal_code,somma_goal_1_odds,somma_goal_1_code,somma_goal_2_odds,somma_goal_2_code,somma_goal_3_odds,somma_goal_3_code,somma_goal_4_odds,somma_goal_4_code,somma_goal_5_odds,somma_goal_5_code,somma_goal_6_odds,somma_goal_6_code
55_2402405092_420,2024-11-21 23:59:00,ROM,FIO,Big Match,420,2402405092,2024-11-22 00:00:20,200,1,334,2,296,3,166,1,188,2,201,1,157,2,920,1,868,2,1571,3,4082,4,10905,5,33153,6,328244,7,761,8,1067,9,2929,10,4467,11,9016,12,31047,13,953,14,2227,15,1879,16,2797,17,4280,18,1707,19,2845,20,2499,21,1978,22,4156,23,4659,24,3051,25,11353,26,13321,27,80374,28,288,1,127,2,364,1,423,2,964,3,494,4,599,5,559,6,550,1,304,2,506,3,920,4,770,5,463,6,122,1,315,2,141,1,234,2,125,1,296,2,157,1,200,2,119,1,334,2,920,1,405,2,381,3,617,4,695,5,832,6,841,7
55_2402405092_418,2024-11-21 23:55:00,LAZ,NAP,Big Match,418,2402405092,2024-11-22 00:00:18,185,1,351,2,322,3,168,1,184,2,203,1,155,2,934,1,908,2,1767,3,5038,4,13662,5,39413,6,452632,7,749,8,1144,9,3214,10,5092,11,9763,12,32210,13,883,14,2149,15,2091,16,2841,17,4608,18,1487,19,2485,20,2393,21,2025,22,3438,23,4047,24,2756,25,9381,26,11954,27,58985,28,292,1,126,2,326,1,405,2,1029,3,514,4,663,5,600,6,505,1,281,2,542,3,934,4,826,5,508,6,119,1,337,2,146,1,221,2,121,1,322,2,168,1,185,2,117,1,351,2,934,1,410,2,389,3,607,4,694,5,799,6,828,7
